#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVT_MNM_20015_TT;You picked the wrong neighbor, my friends...;Il semble que vous ayez choisi le mauvais voisin...;Ihr habt euch die falschen Nachbarn ausgesucht, meine Freunde ...;;Escogisteis a la persona equivocada...;;;;;;;;;x
EVTDESC_MNM_20012;After a lengthy discussion about the logistics of an upcoming ritual, my [satanic_reveler.GetSisterBrother] in [Root.GetDWBrethrenType], [satanic_reveler.GetBestNameWithoutRegnalNumber] stood up abruptly, a depraved grin splitting [satanic_reveler.GetPossPronoun] face: 'Well, I'm bored. Let's head down to the [Root.GetDWSettlement] and have some fun with the peasants!';Après une longue discussion sur la logistique d'un rituel à venir, m[satanic_reveler.GetOnA] [satanic_reveler.GetSisterBrother] [Root.GetDWBrethrenType], [satanic_reveler.GetBestNameWithoutRegnalNumber] se lève brusquement, affichant un sourire pervers : « Bien, je m'ennuie. Allons [Root.GetDWSettlementAuAla] et amusons-nous avec les paysans ! »;Nach langer Diskussion über die Planung des bevorstehenden Rituals erhob sich m[satanic_reveler.Geteineine] [satanic_reveler.GetSisterBrother] in [Root.GetDWBrethrenType], [satanic_reveler.GetBestNameWithoutRegnalNumber], unvermittelt und sagte mit einem verdorbenen Grinsen: "Also, mir ist langweilig. Lasst uns runter in [Root.GetDWSettlementdiedas] gehen und etwas Spaß mit den Bauern haben!";;"Tras hablar largo y tendido sobre la organización del próximo ritual, mi [satanic_reveler.GetSisterBrother] de [Root.GetDWBrethrenType] [satanic_reveler.GetBestNameWithoutRegnalNumber] se levantó de golpe con una sonrisa depravada de oreja a oreja: "Bueno, me aburro. ¡Vamos al [Root.GetDWSettlement] a divertirnos con los campesinos!".";;;;;;;;;x
EVTDESC_MNM_20012_COURT;My [satanic_reveler.GetRootRelation] and fellow [satanic_reveler.GetSisterBrother] in [Root.GetDWBrethrenType], [satanic_reveler.GetFirstName] and I had been discussing a small devotion to [Root.GetDWRandomDemon] when [satanic_reveler.GetSubjectPronoun] suddenly stood up, stretched and said: 'I'm in the mood for mayhem! Let's dress up and head down to the [Root.GetDWSettlement].';Je discutais avec [satanic_reveler.GetFirstName], m[satanic_reveler.GetOnA] [satanic_reveler.GetRootRelation] et fidèle [satanic_reveler.GetSisterBrother] [Root.GetDWBrethrenType], au sujet d'une petite dévotion à [Root.GetDWRandomDemon] quand [satanic_reveler.GetIlElle] se leva soudainement : « Je suis d'humeur pour le chaos ! Habillons-nous et allons [Root.GetDWSettlement]. »;Mein [satanic_reveler.GetRootRelation] und [satanic_reveler.GetSisterBrother] in [Root.GetDWBrethrenType], [satanic_reveler.GetFirstName], und ich diskutierten gerade ein kleines Opfer an [Root.GetDWRandomDemon], als [satanic_reveler.GetSheHe] sich plötzlich erhob und sagte: "Mir steht der Sinn nach etwas Chaos. Wir sollten uns in Schale werfen und hinunter in [Root.GetDWSettlementdiedas] gehen.";;"Mi [satanic_reveler.GetRootRelation] y [satanic_reveler.GetSisterBrother] de [Root.GetDWBrethrenType], [satanic_reveler.GetFirstName], y yo estuvimos hablando sobre un pequeño acto de devoción para [Root.GetDWRandomDemon] cuando, de repente, se levantó, se estiró y dijo: "Me apetece un poco de alboroto. Vamos a vestirnos para ir al[Root.GetDWSettlement]".";;;;;;;;;x
EVTDESC_MNM_20012_PARANOID;After discussing the details of an upcoming ritual, my [satanic_reveler.GetSisterBrother] in [Root.GetDWBrethrenType], [satanic_reveler.GetBestNameWithoutRegnalNumber] stood up abruptly, a depraved grin splitting [satanic_reveler.GetPossPronoun] face: 'Well, I'm bored. Let's head down to the [Root.GetDWSettlement] and have some fun!' There it was – the expected attempt on my life... Good thing I've already subverted most of [satanic_reveler.GetPossPronoun] retainers!;Après une longue discussion sur les détails d'un rituel à venir, m[satanic_reveler.GetOnA] [satanic_reveler.GetSisterBrother] [Root.GetDWBrethrenType], [satanic_reveler.GetBestNameWithoutRegnalNumber] se lève brusquement, affichant un sourire pervers : « Bien, je m'ennuie. Allons [Root.GetDWSettlementAuAla] et amusons-nous ! » La voici, l'atteinte à ma vie... C'est une bonne chose d'avoir déjà corrompu la plupart de ses serviteurs !;Nach einer Diskussion über die Planung des bevorstehenden Rituals erhob sich m[satanic_reveler.Geteineine] [satanic_reveler.GetSisterBrother] in [Root.GetDWBrethrenType], [satanic_reveler.GetBestNameWithoutRegnalNumber], unvermittelt und sagte mit einem verdorbenen Grinsen: "Also, mir ist langweilig. Lasst uns runter in [Root.GetDWSettlementdiedas] gehen und etwas Spaß haben!" Das also sollte der Anschlag auf mein Leben werden. Nur gut, dass ich die meisten [satanic_reveler.GetPossPronoun]er Anhänger schon auf meine Seite gebracht habe!;;"Tras aclarar los detalles sobre el próximo ritual, mi [satanic_reveler.GetSisterBrother] de [Root.GetDWBrethrenType], [satanic_reveler.GetBestNameWithoutRegnalNumber], se levantó de golpe con una sonrisa depravada de oreja a oreja: "Bueno, me aburro. ¡Vamos al[Root.GetDWSettlement] a divertirnos!". Ahí estaba el momento clave de mi vida... ¡Menos mal que ya he corrompido a casi todos sus siervos!";;;;;;;;;x
EVTDESC_MNM_20014;Wearing nondescript common clothes, [satanic_reveler.GetFirstName] and I are slowly making our way to town in amicable silence. As we pass by a neatly kept garden in front of a cozy-looking house, I am suddenly overcome with hatred and revulsion. This family is clearly favored by [Root.Religion.GetRandomGodName]...;Portant des vêtements quelconques, [satanic_reveler.GetFirstName] et moi nous nous dirigeons lentement vers la ville dans un silence complice. Lorsque nous passons devant un jardin soigneusement entretenu d'une riche demeure, je suis soudain submergé[Root.Get_E] de haine et de répulsion. Cette famille a clairement les faveurs [Root.Get_du_HighGod]...;In einfacher Montur machte ich mich zusammen mit [satanic_reveler.GetFirstName] auf den Weg in die Stadt. Die Stimmung ist gut, doch als wir an einem gemütlich aussehenden Haus mit einem hübschen, gepflegten Garten vorbeikommen, überkommt mich eine Welle des Hasses und der Abscheu. Diese Familie wird mit Sicherheit von [Root.Religion.GetRandomGodName] begünstigt ...;;Llevando ropa que no nos delatara, [satanic_reveler.GetFirstName] y yo nos dirigimos despacio al pueblo en un silencio cómplice. Al pasar por un jardín bien cuidado frente a una casa de aspecto acogedor, de repente he sentido odio y repulsión. Esta familia está claramente favorecida por [Root.Religion.GetRandomGodName]...;;;;;;;;;x
EVTDESC_MNM_20015;The father of the family died last. Ah, but the marvels he got to see first! [satanic_reveler.GetFirstName] carved the wife's face off and pranced around wearing it as a mask, taunting and kissing the man while I boiled baby fat to make a flying potion. Finally, we constructed an idol of [Root.GetDWRandomDemon] from the dismembered bodies.;Le père de la famille est mort en dernier. Ah, mais quelles merveilles il a pu voir de son vivant ! [satanic_reveler.GetFirstName] a retiré le visage de l'épouse et s'est promené[satanic_reveler.Get_E] en le portant comme un masque, raillant et embrassant l'homme pendant que je faisais bouillir la graisse du bébé pour faire une potion pour voler. Enfin, nous avons construit une idole de [Root.GetDWRandomDemon] avec les corps démembrés.;Der Vater starb zuletzt. Vorher folterten wir die Frau, zogen ihr die Haut ab, tanzten, töteten die Kinder, töteten den Rest der Familie, kochten ihnen das Fett aus und trieben Unfug nach Satanistenart. Zum Schluss bauten wir aus den Überresten ein Abbild von [Root.GetDWRandomDemon].;;El padre de familia fue el último, ¡pero, ah, qué prodigios pudo ver antes de morir! [satanic_reveler.GetFirstName] le cortó el rostro a su mujer y se puso a caminar pavoneándose usándolo a modo de máscara, burlándose del hombre y besándolo mientras yo hervía grasa de bebé para hacer una pequeña poción. Al final, construimos un ídolo de [Root.GetDWRandomDemon] con sus cuerpos desmembrados.;;;;;;;;;x
EVTDESC_MNM_20016;Predictably, the local populace didn't appreciate the glorious monument of flesh that we left for them to find. Rumors are running rife and it won't take much for the whole of [Root.Location.GetName] to erupt into open rebellion.;Comme on pouvait s'y attendre, la population locale n'a pas apprécié le glorieux monument de chairs que nous avons laissé pour eux. Les rumeurs sont courantes et il ne faudra pas grand-chose pour qu'une révolte éclate en [Root.Location.GetName].;Erwartungsgemäß war die örtliche Bevölkerung von der Skulptur aus Fleisch und Knochen, die wir ihnen hinterlassen hatten, wenig angetan. Die Kunde verbreitete sich wie ein Lauffeuer und es fehlte nicht mehr viel, bis [Root.Location.GetName] sich in offener Rebellion erheben würde.;;Como era de esperar, la población local no apreció el glorioso monumento de carne que les dejamos. Los rumores están corriendo como la pólvora y no tardará mucho en estallar la rebelión en [Root.Location.GetName].;;;;;;;;;x
EVTDESC_MNM_20017;Predictably, the populace of [Root.Location.GetName] didn't appreciate the glorious monument of tortured flesh that we left for them to find. In fact, they were so riled up that they've taken up arms against their rightful rulers!;Comme on pouvait s'y attendre, la population en [Root.Location.GetName] n'a pas apprécié le glorieux monument de chairs que nous avons laissé pour eux. En fait, ils étaient si énervés qu'ils ont pris les armes contre leurs seigneurs légitimes !;Erwartungsgemäß war die Bevölkerung von [Root.Location.GetName] von der Skulptur aus gefolterten Leichen, die wir ihnen hinterlassen hatten, wenig angetan. Und nicht nur das, sie waren sogar derart außer sich, dass sie zu den Waffen griffen und sich gegen ihre rechtmäßigen Herrscher erhoben!;;Como era de esperar, a la población de [Root.Location.GetName] no le gustó el glorioso monumento de carne torturada que les dejamos. De hecho, ¡están tan encolerizados que han tomado las armas contra sus dirigentes!;;;;;;;;;x
EVTDESC_MNM_20021_B;Our frenetic dance quickly turns into a violent orgy. Wails of men and beasts overlap in a sinister cacophony as the grotesque shadows of our jumbled limbs quiver, grasping for the crackling fires. When I finally regain consciousness after dawn, soiled and exhausted, I only have broken memories of the terrible delights I experienced during the Bacchanal.;Notre danse frénétique se transforme rapidement en une orgie violente. Les gémissements des hommes et des bêtes se superposent dans une cacophonie sinistre tandis que les ombres grotesques de nos membres confus tressaillent, cherchant à atteindre les feux crépitants. Quand enfin je reprends conscience après l'aube, souillé[Root.Get_E] et épuisé[Root.Get_E], je n'ai que des souvenirs éparpillés des terribles délices que j'ai vécus.;Unsere rasenden Tänze werden schneller zu einer gewalttätigen Orgie. Die Schreie von Männern und Bestien überlagern sich in einer finsteren Kakophonie, während die grotesken Schatten unserer durcheinanderwirbelnden Glieder nach dem Knistern des Feuers greifen. Als ich erschöpft und verschmutzt im Morgengrauen das Bewusstsein wiedererlangte, habe ich nur teilweise Erinnerung an die schrecklichen Freunden, die ich während des Bacchanals erlebt habe.;;Nuestro baile frenético se convierte rápidamente en una orgía violenta. Gemidos de hombres y bestias se superponen en una siniestra cacofonía mientras las grotescas sombras de nuestras revueltas extremidades tiemblan como buscando los fuegos crepitantes. Cuando finalmente recupero el conocimiento después del amanecer, suci[Root.GetOA] y agotad[Root.GetOA], solo tengo recuerdos inconexos de las terribles delicias que experimenté durante la bacanal.;;;;;;;;;x
EVTDESC_MNM_20021_RIVALRY;The tavern was packed when we arrived. [satanic_reveler.GetFirstName] distracted the tavern keeper while I dosed the barrels with '[Root.GetDWDrug]'. An hour later, the mood was getting festive. That's when [satanic_reveler.GetFirstName] decided to play a prank on me, locking me into a room with three burly warriors who were starting to rave and hallucinate...;La taverne était bondée quand nous sommes arrivés. [satanic_reveler.GetFirstName] distrayait le tavernier pendant que je dosais les tonneaux avec [Root.GetDWDrug]. Une heure plus tard, l'ambiance était devenue festive. C'est alors que [satanic_reveler.GetFirstName] a décidé de me jouer un mauvais tour, me verrouillant dans une salle avec trois guerriers corpulents qui commençaient à délirer et à halluciner...;Bei unserer Ankunft war die Schänke gut besucht. [satanic_reveler.GetFirstName] lenkte den Wirt ab, während ich "[Root.GetDWDrug]" in die Fässer mischte. Eine Stunde später hatte die Stimmung bereits angezogen. Dann dachte [satanic_reveler.GetFirstName], sich einen Scherz erlauben zu müssen, und schloss mich zusammen mit drei stämmigen Kämpen, die gerade zu halluzinieren begannen, in einer Kammer ein.;;"Cuando llegamos, la taberna estaba llena. [satanic_reveler.GetFirstName] distrajo al tabernero mientras yo metía un poco de "[Root.GetDWDrug]" en los barriles. Una hora después, el ambiente se empezó a tornar festivo. Entonces fue cuando [satanic_reveler.GetFirstName] decidió gastarme una broma y me encerró en una habitación con tres guerreros fornidos que empezaron a delirar y a alucinar...";;;;;;;;;x
EVTDESC_MNM_20021_RIVALRY_B;Our frenetic dance quickly turns into a violent orgy. Wails of men and beasts overlap in a sinister cacophony as the grotesque shadows of our jumbled limbs quiver, grasping for the crackling fires. Then, just as I am finally feeling the gods fill me with his ecstatic presence, I feel somebody yelling at me and something hitting my head.;Notre danse frénétique se transforme rapidement en une orgie violente. Les gémissements des hommes et des bêtes se superposent dans une cacophonie sinistre, tandis que les ombres grotesques de nos membres confus tressaillent, cherchant à atteindre les feux crépitants. Puis, juste au moment où je sens enfin que les dieux me remplissent de leur présence extatique, j'entends quelqu'un qui crie après moi et quelque chose qui me frappe la tête.;Unsere rasenden Tänze werden schneller zu einer gewalttätigen Orgie. Die Schreie von Männern und Bestien überlagern sich in einer finsteren Kakophonie, während die grotesken Schatten unserer durcheinanderwirbelnden Glieder nach dem Knistern des Feuers greifen. Dann, gerade als die Götter mich mit ihrer ekstatischen Präsenz erfüllen, schreit mich jemand an und ich fühle, dass etwas meinen Kopf trifft.;;Nuestro baile frenético se convierte rápidamente en una orgía violenta. Gemidos de hombres y bestias se superponen en una siniestra cacofonía mientras las grotescas sombras de nuestras revueltas extremidades tiemblan como buscando los fuegos crepitantes. Entonces, cuando finalmente noto que los dioses me llenan con su presencia extática, siento que me gritan y algo me golpea la cabeza.;;;;;;;;;x
EVTDESC_MNM_20022;When I came to, [satanic_reveler.GetFirstName] was long gone... so much for fellowship. Uuuh, I can't think straight. Where am I?;Quand je suis revenu[Root.Get_E] à moi, [satanic_reveler.GetFirstName] était parti[satanic_reveler.Get_E] depuis longtemps... tout comme notre communion. Ouh, je n'arrive pas à penser clairement. Où suis-je ?;Als ich ankam, war [satanic_reveler.GetFirstName] schon längst verschwunden ... so viel zum Thema Bruderschaft. Uuuh, ich kann keinen klaren Gedanken fassen. Wo bin ich?;;Cuando recuperé la conciencia, hacía mucho que [satanic_reveler.GetFirstName] se había marchado... Eso sí que es amistad. No puedo pensar con claridad. ¿Dónde estoy?;;;;;;;;;x
EVTDESC_MNM_20035;While enjoying a quiet snack in my study, I suddenly felt an irresistible urge to jump out the window. Just like in a dream, I walked over and did it.;Tout en profitant d'une collation tranquille dans mon bureau, j'ai soudainement l'envie irrésistible de sauter par la fenêtre. Juste comme dans un rêve, je marche et le fais.;Als ich in meinem Arbeitszimmer eine Kleinigkeit esse, fühle ich plötzlich den unwiderstehlichen Drang, aus dem Fenster zu springen. Als wäre es ein Traum, stehe ich auf und tue genau das.;;Mientras disfrutaba de un pequeño tentempié en mi estudio, de repente sentí una urgencia irresistible de saltar por la ventana. E igual que en un sueño, lo hice.;;;;;;;;;x
EVTDESC_MNM_20043;[dw_buddy.GetBestNameWithoutRegnalNumber], my [dw_buddy.GetSisterBrother] in [Root.GetDWBrethrenType], wants me to join [dw_buddy.GetObjectPronoun] for a lark over in [target_province.GetName]. There is a certain [target_province.Religion.GetPriestTitle] and would-be witch hunter who has been a thorn in our side for some time. It is time to teach the arrogant fool a lesson in manners...;[dw_buddy.GetBestNameWithoutRegnalNumber], m[dw_buddy.GetOnA] [dw_buddy.GetSisterBrother] [Root.GetDWBrethrenType], veut que je [dw_buddy.GetLeLa] rejoigne pour une farce en [target_province.GetName]. Il y a un certain [target_province.Religion.GetPriestTitle], et chasseur de sorcières en puissance, qui a été une épine dans notre pied depuis quelque temps. C'est le moment de donner à cet idiot arrogant une leçon de bonnes manières...;[dw_buddy.GetBestNameWithoutRegnalNumber], m[dw_buddy.Geteineine] [dw_buddy.GetSisterBrother] in [Root.GetDWBrethrenType], möchte, dass ich auf einen Jux nach [target_province.GetName] komme. Dort ist eine gewisse Person, ein Möchtegern-Hexenfänger, der uns schon seit einiger Zeit eine Plage ist. Es wird Zeit, diesem arroganten Dummkopf Manieren beizubringen ...;;[dw_buddy.GetBestNameWithoutRegnalNumber], mi [dw_buddy.GetSisterBrother] de [Root.GetDWBrethrenType], quiere que vayamos a una fiesta en [target_province.GetName]. Habrá un religioso y un presunto cazador de brujas con los que tengo una deuda pendiente desde hace tiempo. Es hora de enseñarle a ese arrogante una lección de modales...;;;;;;;;;x
EVTDESC_MNM_20043_COURT;My [dw_buddy.GetRootRelation], [dw_buddy.GetFirstName], wants me to join [dw_buddy.GetObjectPronoun] for a lark over in [target_province.GetName]. There is a turbulent [target_province.Religion.GetPriestTitle] there who has been antagonizing [Root.Society.GetName] for quite some time. It is time to teach the arrogant fool a lesson in manners...;M[dw_buddy.GetOnA] [dw_buddy.GetRootRelation], [dw_buddy.GetFirstName], veut que je [dw_buddy.GetLeLa] rejoigne pour une farce en [target_province.GetName]. Il y a un [target_province.Religion.GetPriestTitle] turbulent qui se met à dos [Root.Get_le_Society] depuis un certain temps. Il est temps de donner à cet idiot arrogant une leçon de bonnes manières...;M[dw_buddy.Geteineine] [dw_buddy.GetRootRelation], [dw_buddy.GetFirstName], möchte, dass ich auf einen Jux nach [target_province.GetName] komme. Dort wartet eine turbulente Person auf uns, die schon seit einiger Zeit Unfrieden in [Root.Society.GetName] stiftet. Es wird Zeit, diesem arroganten Dummkopf Manieren beizubringen ...;;Mi [dw_buddy.GetRootRelation] [dw_buddy.GetFirstName] quiere que vayamos a una fiesta en [target_province.GetName]. Habrá un religioso rebelde que lleva un tiempo generando hostilidad contra [Root.Society.GetName]. Es hora de enseñarle a ese arrogante una lección de modales...;;;;;;;;;x
EVTDESC_MNM_20045;We found the zealous [target_province.Religion.GetPriestTitle] in [target_province.GetName], praying in seclusion. [dw_buddy.GetFirstName] snuck up from behind and gave the fool a hard kick in the head. As I gave a devotion to [Root.GetDWRandomDemon], [dw_buddy.GetFirstName] proceeded to relieve [dw_buddy.GetReflexivePronoun] on the comatose preacher. Then the butchery commenced...;Nous avons trouvé le [target_province.Religion.GetPriestTitle] zélé en [target_province.GetName], priant en réclusion. [dw_buddy.GetFirstName] s'est faufilé[dw_buddy.Get_E] par derrière et lui a donné un coup à la tête. Alors que je faisais mes dévotions à [Root.GetDWRandomDemon], [dw_buddy.GetFirstName] a continué en se soulageant sur le prédicateur évanoui. Puis la boucherie a commencé...;Wir machten eine(n) [target_province.Religion.GetPriestTitle] in [target_province.GetName] ausfindig, [target_province.Getderdie] in Abgeschiedenheit betete. [dw_buddy.GetFirstName] schlich sich von hinten an [dw_buddy.Getihnsie] heran und versetzte dem Dummkopf einen festen Tritt an den Kopf. Als ich [Root.GetDWRandomDemon] meinen Respekt zeigte, erleichterte [dw_buddy.GetFirstName] sich über dem komatösen Opfer. Dann begann das blutige Schlachten ...;;Encontramos al religioso fanático en [target_province.GetName], rezando en reclusión.[dw_buddy.GetFirstName] se acercó a hurtadillas por detrás y le dio a ese pardillo un buen golpe en la cabeza. Mientras declaraba mi devoción hacia [Root.GetDWRandomDemon], [dw_buddy.GetFirstName] procedió a aliviarse sobre el predicador comatoso. Entonces, comenzó la carnicería...;;;;;;;;;x
EVTDESC_MNM_20048;Masquerading as the dead [target_province.Religion.GetPriestTitle] and attendant, we have been riding between every [Root.GetDWSettlement] and market in [target_province.GetName], preaching the 'Word of [target_province.Religion.GetHighGodName]' to the masses. Eager ears are picking up on our revolutionary message – the path to salvation requires self-indulgence and the rejection of so called authorities – especially the clergy!;Nous faisant passer pour le [target_province.Religion.GetPriestTitle] mort et son compagnon de route, nous nous rendons dans chaque [Root.GetDWSettlement] et marché en [target_province.GetName], prêchant « la parole [target_province.Get_du_HighGod] » aux masses. Des oreilles attentives reprennent notre message révolutionnaire – le chemin vers le salut exige le laisser-aller et le rejet des autorités, en particulier le clergé !;Verkleidet als [target_province.Religion.GetPriestTitle] und Diener ritten wir in [Root.GetDWSettlementjedejedes] und jeden Markt in [target_province.GetName] und predigten im Namen unseres toten Vorbilds das "Wort von [target_province.Religion.GetHighGodName]". Der geneigte Zuhörer staunte nicht schlecht ob unserer revolutionären Botschaft: Der schnellste Weg zur Erlösung sei Maßlosigkeit und der Ungehorsam gegenüber den örtlichen Machthabern - vor allem gegenüber der Geistlichkeit.;;Haciéndonos pasar por el/la [target_province.Religion.GetPriestTitle] muerto/a y su asistente, hemos viajado por cada [Root.GetDWSettlement] y mercado de [target_province.GetName], predicando la palabra de [target_province.Religion.GetHighGodName] a las masas. Los oídos más vehementes están acogiendo nuestro mensaje revolucionario: el camino a la salvación requiere autocomplacencia y el rechazo a las llamadas autoridades, ¡especialmente al clero!;;;;;;;;;x
EVTDESC_MNM_20049;[dw_buddy.GetFirstName] and I staged a lavish feast in the abode of the dead [target_province.Religion.GetPriestTitle], taking care to only invite dignitaries who weren't well acquainted. The guests were shocked at the dancers, the half-naked musicians and the heady smoke from exotic 'incense', but when we brought in the prostitutes half the guests stood up and left – the other half were delighted!;[dw_buddy.GetFirstName] et moi avons organisé une fête somptueuse dans la demeure du [target_province.Religion.GetPriestTitle] décédé, en prenant soin de n'inviter que des dignitaires qui ne se connaissaient pas bien. Les invités ont été choqués par les danseuses et musiciens à demi nus, et gênés par l'encens, mais quand nous avons fait entrer les prostituées, la moitié des invités s'est levée et est partie – l'autre moitié était ravie !;[dw_buddy.GetFirstName] und ich veranstalteten ein rauschendes Festmahl im Domizil des/der toten [target_province.Religion.GetPriestTitle], wobei wir darauf achteten, nur weitläufig Bekannte einzuladen. Die Tänzer und halbnackten Musiker waren der erste Schock, der exotische "Weihrauch" der nächste, doch als wir dann die Dirnen losließen, gab es kein Halten mehr. Während die Hälfte unserer Gäste aufstand und das Fest einfach verließ, blieb die andere Hälfte sitzen ... und feierte uns!;;"[dw_buddy.GetFirstName] y yo organizamos una fiesta espléndida en la morada del/de la [target_province.Religion.GetPriestTitle] muerto/a, cuidando de invitar únicamente a dignatarios que no se conocían. A los invitados les sorprendieron los bailarines, los músicos medio desnudos y el humo embriagador del "incienso exótico", pero cuando llegaron las prostitutas, la mitad de los invitados se levantó y se fue. ¡La otra mitad estaba encantada!";;;;;;;;;x
EVTDESC_MNM_20052;My compatriot in the recent escapade to [target_province.GetName], [dw_buddy.GetTitledFirstNameNoRegnal], seems to have played a prank on me. [dw_buddy.GetSubjectPronounCap] appears to have told [local_ruler.GetTitledName] that I was behind the rabble rousing.;M[dw_buddy.GetOnA] compatriote dans la récente escapade à [target_province.GetName], [dw_buddy.Get_only_le_Title][dw_buddy.GetTitledFirstNameNoRegnal], semble m'avoir joué un mauvais tour. [dw_buddy.GetIlElleCap] aurait dit [local_ruler.Get_au_TitledName] que j'étais derrière la rébellion.;Mein Komplize bei der Eskapade in [target_province.GetName], [dw_buddy.GetTitledFirstNameNoRegnal], hat mir offenbar einen Streich gespielt. [dw_buddy.GetSheHeCap] hat [local_ruler.GetTitledName] offenbar weisgemacht, dass ich hinter dem Volksaufstand steckte.;;Parece que [dw_buddy.GetTitledFirstNameNoRegnal], mi compatriota en la escapada reciente a [target_province.GetName], me ha gastado una broma. Le dijo a [local_ruler.GetTitledName] que yo estaba detrás de la conmoción de la plebe.;;;;;;;;;x
EVTDESC_MNM_20053;I just learned that my neighbor, [From.GetTitledName], has been stirring up the rabble in [target_province.GetName] with heretical nonsense!;Je viens d'apprendre que m[From.GetOnA] voisin[From.Get_E], [From.Get_le_TitledName], a ameuté la populace en [target_province.GetName] avec des idioties hérétiques !;Mir ist zu Ohren gekommen, dass mein Nachbar, [From.GetTitledName], mit seinen ketzerischen Reden hinter dem Aufstand des Gesindels in [target_province.GetName] steckte!;;¡Acabo de averiguar que [From.GetTitledName] ha estado conmocionando a [target_province.GetName] con disparates heréticos!;;;;;;;;;x
EVTDESC_MNM_20063;My [GetFromRelation], [From.GetTitledFirstNameNoRegnal], declined my offer to lay our differences aside and have some harmless fun together. The [GetRootFromInsult] must have sensed my true intentions...;M[From.GetOnA] [GetFromRelation], [From.Get_only_le_Title][From.GetTitledFirstNameNoRegnal], a refusé ma proposition de mettre nos différends de côté et d'avoir un amusement inoffensif ensemble. [From.GetIlElleCap] a sûrement deviné mes véritables intentions...;M[From.Geteineine] [GetFromRelation], [From.GetTitledFirstNameNoRegnal], lehnte mein Angebot zur Beilegung unserer Streitigkeiten ab und möchte nicht auf einen Spaß vorbeikommen. [GetRootFromInsult]! Offenbar hat man mich durchschaut!;;[From.GetTitledFirstNameNoRegnal], mi [GetFromRelation], ha rechazado mi oferta de dejar a un lado nuestras diferencias y divertirnos juntos/as. Qué [GetRootFromInsult], ha debido de adivinar mis intenciones...;;;;;;;;;x
EVTDESC_MNM_20068;What is this box doing on my desk? Let's look inside... it's a bright white skull, gleaming like a jewel. Hmm, and there's a note: 'I really enjoyed the prank you tried to pull on me the other night! Good thing I wasn't actually in that bull... but, have you seen your [GetFromRelation] [From.GetFirstName] lately? – Your old friend, [FromFromFrom.GetTitledFirstNameNoRegnal].';Que fait cette boîte sur mon bureau ? Regardons à l'intérieur... c'est un crâne blanc brillant, brillant comme un bijou. Hmm, et il y a une note: « J'ai vraiment apprécié la farce que vous avez essayé de me faire l'autre soir ! Heureusement que je n'étais pas dans le taureau d'airain... Cependant, avez-vous vu votre [GetFromRelation] [From.GetFirstName] dernièrement ? – Votre viei[FromFromFrom.GetLLle] ami[FromFromFrom.Get_E], [FromFromFrom.Get_only_le_Title][FromFromFrom.GetTitledFirstNameNoRegnal]. »;Was ist denn das für ein Kästchen auf meinem Tisch? Mal sehen, was drin ist ... Ein heller, weißer Schädel, leuchtend wie ein Edelstein. Hmm, und eine Nachricht: "Euer kleiner Streich, den Ihr mir neulich Abends spielen wollte, war wirklich höchst unterhaltsam! Nur gut, dass ich nicht tatsächlich in diesem Stier saß ... wobei, habt Ihr eigentlich in letzter Zeit Eure[From.GetnMale] [GetFromRelation] [From.GetFirstName] gesehen? – Euer alter Freund, [FromFromFrom.GetTitledFirstNameNoRegnal].";;"¿Qué hace esta caja sobre mi escritorio? A ver qué hay dentro... Es una calavera blanca y brillante, que reluce como una joya. Incluye una nota: "¡Me gustó mucho la broma que intentaste gastarme la otra noche! Menos mal que no estaba dentro de ese toro... Oye, ¿has visto a tu [GetFromRelation] [From.GetFirstName] últimamente? – Tu viej[FromFromFrom.GetOA] amig[FromFromFrom.GetOA], [FromFromFrom.GetTitledFirstNameNoRegnal]".";;;;;;;;;x
EVTDESC_MNM_20070;I have put the word out among my brethren in [Root.Society.GetName]. When an opportunity presents itself, the brothers and sisters in [abduction_target.Capital.GetName] will attempt to snatch [abduction_target.GetTitledFirstNameNoRegnal] and bring [abduction_target.GetObjectPronoun] to me in chains...;J'ai demandé à mes frères et soeurs [Root.Get_du_Society] à [abduction_target.Capital.GetName] de tenter, dès que l'occasion se présente, d'enlever [abduction_target.Get_only_le_Title][abduction_target.GetTitledFirstNameNoRegnal] et me l'amener avec des chaînes...;Ich habe meine Freunde im "[Root.Society.GetName]"-Zirkel verständigt. Sobald sich eine Gelegenheit dazu bietet, werden die Brüder und Schwestern in [abduction_target.Capital.GetName] versuchen, [abduction_target.GetTitledFirstNameNoRegnal] zu entführen und in Ketten zu mir zu bringen...;;He corrido la voz entre mis hermanos y hermanas de [Root.Society.GetName]. Cuando se presente la oportunidad, los hermanos y hermanas de [abduction_target.Capital.GetName] intentarán raptar y traerme a [abduction_target.GetTitledFirstNameNoRegnal].;;;;;;;;;x
